Category,Revenue,% of Total,Revenue WoW Change (%),Revenue MoM Change (%)
girls-orange-turtle-neck-tank-top-with-joggers-set-484069,71779.4,1.02,73.07,0.0
girls-sleeveless-denim-top-with-denim-straight-leg-pants-468824,66836.98,0.95,2.57,0.0
27kids-childrens-vest-wholesale-2023-summer-korean-version-of-childrens-clothing-boys-printed-sleeveless-top-one-piece-on-behalf-of-1,60751.22,0.87,-12.55,2343.02
new-childrens-clothing-summer-childrens-sports-ball-suit-boy-short-sleeved-suit-baby-basketball-suit-summer-vest-shorts-1,57292.81,0.82,27.35,11051.95
girls-denim-shorts-summer-new-korean-version-baby-all-match-thin-section-outerwear-childrens-summer-clothes-foreign-style-short-pants-trendy-1,56252.82,0.8,-3.62,1483.91
Others,6697331.82,95.54,16.83,16.93
