OS,Sessions,% of Total,Conversion Rate,Revenue,Revenue per Session,RPS WoW Change (%),RPS MoM Change (%)
android,220539,68.15,1.16,3641493.71,16.51,2.11,-11.82
ios,97277,30.06,2.17,3379645.84,34.74,5.24,4.44
windows,3492,1.08,0.6,50307.35,14.41,40.57,15.77
mac os x,765,0.24,0.65,9159.55,11.97,-29.1,-74.27
linux,749,0.23,0.4,3516.3,4.69,100.0,-12.05
,714,0.22,0.0,0.0,0.0,0.0,0.0
chrome os,38,0.01,2.63,2255.2,59.35,100.0,-40.45
ipados,32,0.01,6.25,1169.25,36.54,-440.68,956.22
macos,4,0.0,0.0,0.0,0.0,,64920.0
